"id","infrastructure_type","infrastructure_class","status","railway_service","railway_usage","country_relation","distance_to_country_m","province_codes","province_assignment_method","source_url","decision","reason"
"osm-way-1020580079","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580079","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580081","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580081","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580087","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580087","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580088","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580088","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580089","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580089","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580090","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580090","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580097","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580097","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580099","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580099","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580103","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580103","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580105","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580105","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580107","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580107","included","intersects_generalized_vietnam_boundary"
